Age,Avg_BPM,Resting_BPM,Session_Duration (hours),Workout_Type,Fat_Percentage,Workout_Frequency (days/week),BMI,Base_MET,HR_Intensity,Calories_Burned (kcal)
56,149.0,71.0,1.01,1,22.1,3,20.4,9.5,0.8478260869565217,39.84256206304771
46,126.0,73.0,0.25,4,19.9,3,18.0,3.0,0.5463917525773195,7.486832980505137
32,171.0,60.0,0.33,1,20.4,3,26.5,9.5,0.8538461538461538,25.085051227568314
25,135.0,69.0,0.78,4,30.3,3,28.5,3.0,0.55,20.556595487794695
38,138.0,66.0,0.55,0,23.7,2,32.5,7.0,0.6545454545454545,29.029018676071594
56,124.0,77.0,0.75,4,28.7,5,18.1,3.0,0.5465116279069767,13.270887335056857
36,136.0,78.0,0.41,4,25.5,2,27.1,3.0,0.5523809523809524,11.899640283115241
40,137.0,63.0,0.52,0,18.3,3,27.3,7.0,0.6548672566371682,24.29068276024798
28,164.0,83.0,0.78,2,26.5,2,21.7,8.0,0.75,34.61147361142406
28,166.0,66.0,0.67,2,21.3,4,20.3,8.0,0.7518796992481203,26.106938645110393
41,126.0,62.0,1.07,4,14.5,7,19.7,3.0,0.5470085470085471,16.963122105813696
53,140.0,77.0,0.44,2,28.7,3,21.9,8.0,0.75,22.68197723035981
57,135.0,70.0,0.43,3,27.6,4,24.8,6.0,0.6989247311827957,20.44994432064365
41,142.0,63.0,1.0,2,20.9,6,29.4,8.0,0.7523809523809524,41.99545431064442
20,186.0,75.0,0.65,1,37.7,3,28.4,9.5,0.8538461538461538,35.47532521540006
39,143.0,69.0,0.97,3,27.0,4,18.0,6.0,0.6981132075471698,26.049955436684737
19,171.0,76.0,0.48,2,25.5,2,20.8,8.0,0.753968253968254,23.93838853899756
41,149.0,76.0,0.25,3,28.3,2,29.2,6.0,0.7019230769230769,15.933209417167914
47,136.0,57.0,1.39,3,9.0,7,21.1,6.0,0.7053571428571429,36.92557000224916
55,149.0,81.0,0.56,2,24.7,3,23.8,8.0,0.7555555555555555,29.780497164141412
19,184.0,66.0,0.44,1,16.1,5,18.0,9.5,0.8489208633093526,24.720778431774768
38,163.0,77.0,0.84,1,29.1,3,28.6,9.5,0.8514851485148515,45.49736834815168
50,143.0,73.0,0.25,3,29.8,3,18.0,6.0,0.693069306930693,10.66491215919005
29,157.0,71.0,0.58,2,21.2,3,18.0,8.0,0.7478260869565218,23.89208373229161
39,171.0,74.0,0.27,1,17.1,3,28.2,9.5,0.8508771929824561,25.935640318417622
42,155.0,67.0,0.8,2,25.8,5,31.7,8.0,0.7521367521367521,38.45738498716889
44,153.0,68.0,0.87,2,14.4,4,22.8,8.0,0.7522123893805309,33.1226422696243
59,115.0,70.0,0.69,4,24.2,5,23.8,3.0,0.5421686746987951,17.6468827043885
45,129.0,77.0,0.6,4,31.4,5,27.6,3.0,0.5473684210526316,17.431932482385793
33,129.0,60.0,1.0,4,22.6,7,25.2,3.0,0.5564516129032258,20.37856116911898
32,153.0,55.0,1.69,2,11.1,6,22.5,8.0,0.7538461538461538,52.32862965325005
20,158.0,72.0,0.89,0,20.6,3,22.1,7.0,0.6466165413533834,25.488179277645877
54,135.0,69.0,1.25,2,14.7,7,18.0,8.0,0.75,35.22902093797257
24,179.0,72.0,0.87,1,20.9,5,24.9,9.5,0.8492063492063492,41.20648099533217
38,167.0,60.0,1.22,1,18.7,6,23.6,9.5,0.8492063492063492,48.509405064799566
26,172.0,65.0,0.91,1,24.6,3,22.2,9.5,0.856,39.86167698504206
56,133.0,70.0,1.29,0,12.6,7,20.0,7.0,0.6494845360824743,29.387895756166895
35,151.0,68.0,0.37,3,18.6,4,20.4,6.0,0.6974789915966386,17.308029417835478
21,163.0,60.0,1.01,2,19.7,5,26.5,8.0,0.7463768115942029,41.81780460041329
42,135.0,76.0,0.63,4,22.1,5,27.5,3.0,0.5514018691588785,17.707866449720022
31,167.0,59.0,1.35,1,9.0,5,22.7,9.5,0.8503937007874016,48.386506130113844
26,178.0,55.0,1.16,1,18.3,7,22.3,9.5,0.8541666666666666,44.12157846388174
43,150.0,85.0,0.81,3,26.3,3,20.6,6.0,0.6989247311827957,22.256957764732167
19,161.0,73.0,0.57,3,26.6,5,27.7,6.0,0.6984126984126984,24.877499883731744
37,148.0,67.0,0.83,3,28.7,3,24.1,6.0,0.7043478260869566,30.56992477731565
45,147.0,82.0,0.8,2,20.3,3,25.5,8.0,0.7558139534883721,33.94996522946858
24,173.0,55.0,1.35,1,19.2,7,25.4,9.5,0.8489208633093526,61.0555310817378
25,146.0,64.0,0.87,0,17.9,4,22.8,7.0,0.656,29.55312979721663
52,133.0,66.0,1.01,0,24.3,3,19.3,7.0,0.6504854368932039,29.949960876345372
31,158.0,75.0,1.06,3,25.0,7,20.0,6.0,0.6974789915966386,27.09295447354909
34,150.0,80.0,0.95,0,23.8,4,28.5,7.0,0.6481481481481481,35.87347356660067
53,141.0,72.0,0.67,2,24.0,2,21.1,8.0,0.7582417582417582,25.43720102342803
57,134.0,84.0,0.54,0,25.8,2,22.4,7.0,0.6410256410256411,23.74490240804964
21,158.0,59.0,1.14,3,13.9,3,19.5,6.0,0.7021276595744681,31.893952262903774
19,160.0,80.0,0.69,0,20.7,2,19.1,7.0,0.6504065040650406,26.15670435260491
23,187.0,82.0,0.55,1,25.0,2,20.9,9.5,0.8536585365853658,28.489342400255214
59,144.0,83.0,0.83,2,25.8,3,30.8,8.0,0.7530864197530864,40.07136793592525
21,165.0,60.0,1.52,2,16.3,7,26.6,8.0,0.75,52.12208421707354
46,150.0,78.0,0.25,2,22.8,3,21.9,8.0,0.7422680412371134,17.657059800488987
35,165.0,61.0,1.06,1,16.7,5,28.3,9.5,0.8524590163934426,47.687020437937306
43,161.0,70.0,0.7,1,26.8,4,23.4,9.5,0.8504672897196262,31.364651953826822
51,158.0,74.0,1.08,1,25.4,2,29.4,9.5,0.8484848484848485,52.88169093604897
27,135.0,69.0,1.14,4,19.5,5,32.8,3.0,0.55,24.168683574073796
53,146.0,76.0,0.56,2,15.6,5,28.1,8.0,0.7526881720430108,29.616451413781395
31,152.0,66.0,1.04,3,15.0,5,24.4,6.0,0.7049180327868853,34.3758161420469
48,141.0,68.0,1.05,0,15.8,5,26.8,7.0,0.6460176991150443,35.794179446046975
32,139.0,76.0,0.25,4,21.7,3,24.1,3.0,0.5575221238938053,7.818350166906862
25,154.0,76.0,0.71,0,21.8,4,18.0,7.0,0.6446280991735537,20.583179581272436
31,148.0,81.0,0.6,0,28.8,3,21.4,7.0,0.6442307692307693,21.841140912296957
40,170.0,75.0,0.44,1,22.1,2,20.2,9.5,0.8482142857142857,30.15587038162705
57,125.0,76.0,0.66,4,27.3,3,21.3,3.0,0.5444444444444444,14.792855623746666
38,150.0,61.0,0.93,3,18.1,4,31.2,6.0,0.6953125,35.37378760575384
33,147.0,76.0,0.64,0,22.3,3,28.5,7.0,0.6454545454545455,28.172835465033774
35,143.0,65.0,0.92,0,22.7,3,25.8,7.0,0.65,32.380226875342174
41,127.0,72.0,1.0,4,22.7,5,27.2,3.0,0.55,22.099792530227305
43,149.0,63.0,1.25,3,15.3,6,18.0,6.0,0.6991869918699187,29.698580409854316
42,144.0,62.0,1.42,3,10.5,7,26.9,6.0,0.6949152542372882,41.88165903882851
58,139.0,64.0,0.52,3,29.1,3,27.8,6.0,0.7009345794392523,23.628109567426158
46,136.0,69.0,1.27,0,18.2,3,18.0,7.0,0.6504854368932039,36.23610858861033
32,171.0,58.0,1.09,1,16.8,6,27.1,9.5,0.8560606060606061,52.34703303769212
18,149.0,80.0,0.43,4,25.3,2,18.3,3.0,0.552,11.023056476879766
42,146.0,68.0,1.22,3,25.8,5,18.0,6.0,0.6964285714285714,29.05479029071039
24,177.0,80.0,0.41,1,34.9,3,29.3,9.5,0.8508771929824561,33.20795364686792
26,154.0,67.0,1.03,3,23.0,5,20.0,6.0,0.696,28.56795707926848
41,140.0,71.0,0.99,0,17.4,5,21.1,7.0,0.6509433962264151,31.01514803843835
18,162.0,62.0,1.31,3,15.2,5,28.0,6.0,0.6993006993006993,43.70339155905173
25,147.0,63.0,0.78,0,17.5,5,22.8,7.0,0.6511627906976745,26.36899716239543
41,122.0,65.0,1.07,4,24.3,6,23.3,3.0,0.5480769230769231,19.762352813976705
28,151.0,75.0,0.25,0,26.2,2,23.2,7.0,0.6495726495726496,15.697457444503154
34,147.0,55.0,0.74,3,30.6,4,25.4,6.0,0.7022900763358778,28.828558188796315
25,161.0,65.0,0.93,2,29.2,3,23.1,8.0,0.75,35.110645372992366
52,152.0,80.0,0.89,1,26.1,4,24.5,9.5,0.8470588235294118,47.9799959983992
52,132.0,69.0,0.52,0,22.0,3,22.0,7.0,0.6428571428571429,20.2530896731218
50,127.0,59.0,1.13,0,15.9,7,25.4,7.0,0.6538461538461539,39.86167698504206
22,170.0,64.0,0.62,2,32.7,3,25.3,8.0,0.75177304964539,32.97427626127522
59,134.0,68.0,0.25,3,28.9,3,31.6,6.0,0.7021276595744681,19.577766334817888
